,Unnamed: 0,uuid,minr,minc,maxr,maxc,maxr_fixed,minr_fixed,maxc_fixed,minc_fixed,center_r,center_c,row_rad,col_rad,rad
66,445,85441ab5-77fc-45e6-ac2b-d1e5a62b6567,2351,4652,2788,4989,3154,2717,4989,4652,2935.5,4820.5,218.5,168.5,168.5
67,448,a35cd056-d55b-4735-9e0b-7b66847508da,2365,2988,2834,3263,3200,2731,3263,2988,2965.5,3125.5,234.5,137.5,137.5
68,461,50a18e62-84f5-44bf-98d9-5ded43bbe34e,2403,3595,3035,4098,3401,2769,4098,3595,3085.0,3846.5,316.0,251.5,251.5
69,469,3956ee41-808e-4b31-a97b-a99f7a419cd8,2425,2303,2933,2745,3299,2791,2745,2303,3045.0,2524.0,254.0,221.0,221.0
70,472,1a63f0af-8152-4a62-89ba-e90271a8eed6,2433,4426,2767,4734,3133,2799,4734,4426,2966.0,4580.0,167.0,154.0,154.0
72,478,f4f24649-be04-4fd1-b3f0-5a1fe374ab49,2459,6596,2848,6862,3214,2825,6862,6596,3019.5,6729.0,194.5,133.0,133.0
73,484,9c92cdd9-642f-4bb2-84eb-bb6a363f77cf,2479,6185,2812,6622,3178,2845,6622,6185,3011.5,6403.5,166.5,218.5,166.5
75,498,9d4bb459-ca0c-427c-9d3e-6217931a7032,2556,4859,2999,5207,3365,2922,5207,4859,3143.5,5033.0,221.5,174.0,174.0
80,535,4d232c62-225b-4c0a-b479-32766b195780,2737,897,3446,1323,3812,3103,1323,897,3457.5,1110.0,354.5,213.0,213.0
81,540,b074aeff-5be4-4953-ba14-2f6a4720445f,2770,5465,3259,5943,3625,3136,5943,5465,3380.5,5704.0,244.5,239.0,239.0
85,574,c0dc418b-4cad-42a5-a444-9d887ef8ca84,2930,6837,3230,7183,3596,3296,7183,6837,3446.0,7010.0,150.0,173.0,150.0
86,588,53a1294d-764e-45ed-a287-4779c70cfeb7,2972,2118,3383,2431,3749,3338,2431,2118,3543.5,2274.5,205.5,156.5,156.5
87,589,973f663b-766a-403c-96f6-15fd4efc4e23,2989,1594,3405,1983,3771,3355,1983,1594,3563.0,1788.5,208.0,194.5,194.5
88,603,23f5ad6b-4c6e-444a-ba40-89c5c687c336,3041,6030,3329,6366,3695,3407,6366,6030,3551.0,6198.0,144.0,168.0,144.0
89,609,283ad796-77fc-49f4-90ef-21600428e971,3059,2740,3343,2996,3709,3425,2996,2740,3567.0,2868.0,142.0,128.0,128.0
93,626,dbab800b-3fd7-4545-9f56-d27e9bbd90f6,3154,6439,3544,6678,3910,3520,6678,6439,3715.0,6558.5,195.0,119.5,119.5
94,630,36738653-f458-44f9-a30e-192301235496,3173,5352,3676,5914,4042,3539,5914,5352,3790.5,5633.0,251.5,281.0,251.5
96,639,9765a049-1931-4efc-8977-ca46a952a246,3213,4388,3587,4795,3953,3579,4795,4388,3766.0,4591.5,187.0,203.5,187.0
99,651,c4586440-0926-4edb-afc3-f31264237217,3284,1873,3598,2190,3964,3650,2190,1873,3807.0,2031.5,157.0,158.5,157.0
100,656,9a198378-a576-4b42-9536-e5d154bde0a1,3332,1020,3861,1380,4227,3698,1380,1020,3962.5,1200.0,264.5,180.0,180.0
101,662,71e5a4c0-7551-4bfe-b3b4-e801c4cd9a46,3371,5797,3801,6116,4167,3737,6116,5797,3952.0,5956.5,215.0,159.5,159.5
105,681,248cf6d8-905b-4fc2-8913-66f28d2ced00,3459,3363,3730,3626,4096,3825,3626,3363,3960.5,3494.5,135.5,131.5,131.5
106,686,1e240228-1c8f-438f-b257-e21fbe08188c,3475,6428,3764,6714,4130,3841,6714,6428,3985.5,6571.0,144.5,143.0,143.0
110,700,aa757ef2-7ba5-4f3e-9bb5-f199ae4601cc,3566,4981,3880,5460,4246,3932,5460,4981,4089.0,5220.5,157.0,239.5,157.0
114,725,321aa388-1252-4e9c-854b-25545e1221a1,3672,6080,4474,6513,4840,4038,6513,6080,4439.0,6296.5,401.0,216.5,216.5
116,735,5f6c9eec-00d5-4c37-9773-ed07bb4397ca,3702,3670,4063,3911,4429,4068,3911,3670,4248.5,3790.5,180.5,120.5,120.5
118,744,c5de64ff-cf1a-4cdd-b63c-45c5ac7a42f3,3739,5218,4189,5587,4555,4105,5587,5218,4330.0,5402.5,225.0,184.5,184.5
122,762,dcc05cb5-e943-4b1c-81c5-fdc72f86a379,3821,4711,4052,5008,4418,4187,5008,4711,4302.5,4859.5,115.5,148.5,115.5
123,764,a733c26d-9f1d-4953-ae51-4915be8499b7,3840,1943,4158,2171,4524,4206,2171,1943,4365.0,2057.0,159.0,114.0,114.0
127,782,4a4c12b1-72d0-44b3-ad8c-a2feed80213f,3913,4953,4245,5240,4611,4279,5240,4953,4445.0,5096.5,166.0,143.5,143.5
129,789,21a26f2e-07db-4e75-a0b1-f0a31dc9c114,3963,4014,4236,4351,4602,4329,4351,4014,4465.5,4182.5,136.5,168.5,136.5
134,817,ecae200b-01d4-40b6-a85e-bc76f6d4c1e4,4147,1536,4589,1836,4955,4513,1836,1536,4734.0,1686.0,221.0,150.0,150.0
135,827,7e9091e7-0a27-45c3-8a77-9145cc1b37d2,4188,1826,4751,2534,5117,4554,2534,1826,4835.5,2180.0,281.5,354.0,281.5
140,852,ffc10eef-1843-4954-bc64-5f829add6a23,4300,6645,4527,6875,4893,4666,6875,6645,4779.5,6760.0,113.5,115.0,113.5
142,873,5a60ac85-cf1c-41c7-bedb-cc177bf2952b,4371,3309,4676,3648,5042,4737,3648,3309,4889.5,3478.5,152.5,169.5,152.5
146,882,ce5f3134-f82d-478b-af67-804d37c894ac,4392,4578,4732,5059,5098,4758,5059,4578,4928.0,4818.5,170.0,240.5,170.0
148,895,486549e3-d92a-4e7c-8ec7-b94b01adbbb8,4482,921,4994,1273,5360,4848,1273,921,5104.0,1097.0,256.0,176.0,176.0
150,900,0abdb185-03a3-4dd2-8ab9-c347e028fd1a,4496,6229,4856,6575,5222,4862,6575,6229,5042.0,6402.0,180.0,173.0,173.0
151,901,1c200e0b-d2e4-48ff-b207-307513e50994,4509,7125,4763,7420,5129,4875,7420,7125,5002.0,7272.5,127.0,147.5,127.0
152,903,259d98e6-bcc9-4290-916e-aaea39c3b767,4527,2969,4789,3282,5155,4893,3282,2969,5024.0,3125.5,131.0,156.5,131.0
157,923,2740acdd-15d4-43a5-b2c6-5574edcd67f6,4641,6557,5077,7019,5443,5007,7019,6557,5225.0,6788.0,218.0,231.0,218.0
159,928,0fb7342b-9158-4187-924a-4e81848bc2b0,4653,2012,4969,2330,5335,5019,2330,2012,5177.0,2171.0,158.0,159.0,158.0
162,943,f0610db2-e1d5-4038-b1e6-0dbbb1ab7c47,4731,4023,5034,4470,5400,5097,4470,4023,5248.5,4246.5,151.5,223.5,151.5
164,945,b0e88e1c-0cc6-41bc-9b99-32488d1d099e,4739,2544,5579,3349,5945,5105,3349,2544,5525.0,2946.5,420.0,402.5,402.5
167,955,1c926180-ab92-45ec-ad4c-9c0c3cd0b3d1,4798,1523,5182,1781,5548,5164,1781,1523,5356.0,1652.0,192.0,129.0,129.0
172,984,cc8795d4-e3b3-46fa-b89c-256d5d6c914e,4914,3329,5502,3684,5868,5280,3684,3329,5574.0,3506.5,294.0,177.5,177.5
173,985,d34786c4-22b1-48a2-b0e2-d6fd1ef85a84,4917,2248,5313,2638,5679,5283,2638,2248,5481.0,2443.0,198.0,195.0,195.0
174,990,08f3396a-276e-4bac-a621-f757b44c0b92,4937,1165,5202,1430,5568,5303,1430,1165,5435.5,1297.5,132.5,132.5,132.5
176,1008,a7ff3f2b-69b7-4480-87a8-d486fa707d9f,5077,3578,5488,3889,5854,5443,3889,3578,5648.5,3733.5,205.5,155.5,155.5
178,1014,8ccfb430-fc10-4dad-8354-8707044aff67,5096,4048,5402,4317,5768,5462,4317,4048,5615.0,4182.5,153.0,134.5,134.5
180,1022,f6b5f663-6171-4618-af71-a0937307b31e,5159,3831,5545,4129,5911,5525,4129,3831,5718.0,3980.0,193.0,149.0,149.0
182,1026,5ca1411a-5b19-408d-b4b2-e073f1435263,5166,6523,5446,6918,5812,5532,6918,6523,5672.0,6720.5,140.0,197.5,140.0
184,1034,bfd27a2f-0af4-4d4b-a02b-ad9ccdb599c5,5197,1636,5428,1867,5794,5563,1867,1636,5678.5,1751.5,115.5,115.5,115.5
185,1049,13219c8f-0b32-4cc2-b349-f91363a0c9bf,5246,4453,5659,4801,6025,5612,4801,4453,5818.5,4627.0,206.5,174.0,174.0
188,1065,cd0c2b5e-7aea-436f-a2a8-dbd5cf49426c,5341,5403,6180,5848,6546,5707,5848,5403,6126.5,5625.5,419.5,222.5,222.5
193,1082,5d633f53-3253-4435-ac68-cfb4bd04b4b1,5405,4114,5759,4499,6125,5771,4499,4114,5948.0,4306.5,177.0,192.5,177.0
198,1120,c0687019-c28e-4d8b-911a-115b48931dc8,5543,1405,6078,1980,6444,5909,1980,1405,6176.5,1692.5,267.5,287.5,267.5
200,1142,d1527926-c3aa-4e8c-93ac-583bcc47b8e8,5656,6632,6036,6952,6402,6022,6952,6632,6212.0,6792.0,190.0,160.0,160.0
201,1145,d48f9240-97b7-4145-b85a-9fcbdeaff048,5681,5085,6037,5468,6403,6047,5468,5085,6225.0,5276.5,178.0,191.5,178.0
205,1207,71e6a3fb-efa4-415d-bac1-8a1b52785730,5891,7193,6135,7491,6501,6257,7491,7193,6379.0,7342.0,122.0,149.0,122.0
207,1211,bc51df54-7254-4f66-99fb-d0fab53d339a,5911,6616,6422,6871,6788,6277,6871,6616,6532.5,6743.5,255.5,127.5,127.5
211,1257,16d2e82a-dee7-41ab-b41e-435668232502,6038,5482,6413,5857,6779,6404,5857,5482,6591.5,5669.5,187.5,187.5,187.5
216,1290,902ae704-a54a-4099-a007-692ca529ada3,6163,3314,6535,3713,6901,6529,3713,3314,6715.0,3513.5,186.0,199.5,186.0
227,1349,69f2b00c-2ceb-49f5-8388-1a5e8ee69b88,6397,1456,6902,1795,7268,6763,1795,1456,7015.5,1625.5,252.5,169.5,169.5
228,1350,1670e68e-3645-4e2d-af61-3b3f25bd1de9,6423,5446,6781,5878,7147,6789,5878,5446,6968.0,5662.0,179.0,216.0,179.0
230,1370,953212cc-1db3-4035-8e2d-459b2ecfd075,6485,4470,6741,4765,7107,6851,4765,4470,6979.0,4617.5,128.0,147.5,128.0
234,1388,aead4c12-8314-4818-81e8-c45151e45cb0,6562,2235,6864,2593,7230,6928,2593,2235,7079.0,2414.0,151.0,179.0,151.0
238,1438,66cca119-370e-40c0-b22f-a8c2f16027af,6753,6090,7077,6370,7443,7119,6370,6090,7281.0,6230.0,162.0,140.0,140.0
239,1440,acf09c00-97c0-4dfb-a6b4-59020fda1817,6761,4112,7039,4388,7405,7127,4388,4112,7266.0,4250.0,139.0,138.0,138.0
249,1472,aa7d86a1-3644-4459-9db9-39e8c18325ab,6915,5457,7325,6019,7691,7281,6019,5457,7486.0,5738.0,205.0,281.0,205.0
250,1481,a6cc7f0e-762b-41b9-9753-b6443e553295,6955,5996,7567,6600,7933,7321,6600,5996,7627.0,6298.0,306.0,302.0,302.0
251,1483,56f647f7-f584-4446-84fa-4f95404caa01,6959,3908,7427,4288,7793,7325,4288,3908,7559.0,4098.0,234.0,190.0,190.0
252,1484,9272ccb6-97d8-4433-857b-caf9c9512448,6963,4793,7348,5078,7714,7329,5078,4793,7521.5,4935.5,192.5,142.5,142.5
257,1504,7a7af2ef-7d26-478c-a228-098c13c4ce5f,7097,5088,7392,5342,7758,7463,5342,5088,7610.5,5215.0,147.5,127.0,127.0
261,1531,0ffdf512-86f7-4a46-9be4-d8ac3fb82b42,7240,6598,7506,6938,7872,7606,6938,6598,7739.0,6768.0,133.0,170.0,133.0
266,1579,a9a46b90-5116-4c7e-960f-e4d7b83cce49,7404,6377,7681,6642,8047,7770,6642,6377,7908.5,6509.5,138.5,132.5,132.5
