,uuid,minr,minc,maxr,maxc
761,7015ddba-4292-4db7-b060-ecde8d3bc134,3819,5521,4430,6157
762,dcc05cb5-e943-4b1c-81c5-fdc72f86a379,3821,4711,4052,5008
764,a733c26d-9f1d-4953-ae51-4915be8499b7,3840,1943,4158,2171
767,f5ce54eb-b289-4e82-9577-cdf0797953ec,3860,376,4273,768
768,e014fe25-3e47-43ed-bdee-2afd5e9351d5,3867,1409,4185,1725
771,ea949017-3bce-4b96-baaa-6d9437f11165,3869,4494,4241,4743
782,4a4c12b1-72d0-44b3-ad8c-a2feed80213f,3913,4953,4245,5240
783,63906fab-75c8-420e-a17f-cf9f88557c15,3914,995,4375,1525
789,21a26f2e-07db-4e75-a0b1-f0a31dc9c114,3963,4014,4236,4351
797,47846dc9-e12e-400d-ae46-200d6560c6f4,4020,3798,4265,4056
803,ae6cbe11-be7d-4c69-bcb6-3510dfe7e051,4068,6834,4702,7250
811,ffab5b18-5a7c-4e43-86c0-5feff0de2f59,4108,5080,4577,5507
815,afa9dcfc-3bf0-429c-a2db-47e13222779f,4136,2507,4402,2774
817,ecae200b-01d4-40b6-a85e-bc76f6d4c1e4,4147,1536,4589,1836
827,7e9091e7-0a27-45c3-8a77-9145cc1b37d2,4188,1826,4751,2534
830,5cb60d10-3f0c-452d-8111-dfd7339009ee,4199,4378,4476,4715
840,1b3ba5a2-71e2-4b01-b9af-4b99d074fb96,4255,5776,4802,6307
846,815b0d34-3b36-47e4-8f5b-47be9c5630e8,4284,1205,4601,1561
848,75461ad8-513d-451f-bcd6-41b94f031e0b,4296,710,4742,1089
852,ffc10eef-1843-4954-bc64-5f829add6a23,4300,6645,4527,6875
868,d14389f2-e005-4bb3-8f71-27daac86c3b3,4351,3929,4740,4363
873,5a60ac85-cf1c-41c7-bedb-cc177bf2952b,4371,3309,4676,3648
874,9f1bc1ab-85b5-40bb-9f1d-571feaf621f7,4375,5344,4666,5745
875,3b54cd58-9669-4a4a-a863-ae78260cdc49,4378,485,4791,727
876,5385526d-bd4a-4ffc-a546-2733f82e4f71,4378,3064,4655,3358
882,ce5f3134-f82d-478b-af67-804d37c894ac,4392,4578,4732,5059
894,7cb6119c-ebb9-4ea2-a2bc-9582167e4d1c,4451,2616,4765,2966
895,486549e3-d92a-4e7c-8ec7-b94b01adbbb8,4482,921,4994,1273
897,55880b9d-0c4d-4bfe-8bf0-026fe3ab35ac,4487,6559,4723,6791
900,0abdb185-03a3-4dd2-8ab9-c347e028fd1a,4496,6229,4856,6575
901,1c200e0b-d2e4-48ff-b207-307513e50994,4509,7125,4763,7420
903,259d98e6-bcc9-4290-916e-aaea39c3b767,4527,2969,4789,3282
907,462c614e-99d1-4958-b60c-77e18c852c62,4560,4648,5094,5265
916,db098b87-e6ab-4f2a-8aea-d4314fec2edf,4601,5248,4881,5586
919,982e1ac6-8f14-417f-8218-44caeb27cb0b,4628,1264,4997,1554
920,bc43d207-5663-4ba9-b41c-f456c5dc085c,4632,6995,5165,7570
923,2740acdd-15d4-43a5-b2c6-5574edcd67f6,4641,6557,5077,7019
926,479e1fe1-92f5-4ca4-b2b3-7bae3a28302b,4648,1720,5073,1996
928,0fb7342b-9158-4187-924a-4e81848bc2b0,4653,2012,4969,2330
934,35633919-c402-4b42-ba1d-50834f179c4f,4681,3378,4951,3737
940,82b9d2e5-dd61-4f23-956b-a0c9263f2865,4711,5442,4986,5702
943,f0610db2-e1d5-4038-b1e6-0dbbb1ab7c47,4731,4023,5034,4470
944,b5a2270d-12a9-4777-b918-a87702833f58,4733,734,5182,1136
945,b0e88e1c-0cc6-41bc-9b99-32488d1d099e,4739,2544,5579,3349
949,2aa2daff-b009-467b-b345-87b87c99bbd1,4780,490,5115,779
953,819b8d35-e33c-4a80-b964-f13ffe3625cf,4792,6076,5117,6399
955,1c926180-ab92-45ec-ad4c-9c0c3cd0b3d1,4798,1523,5182,1781
971,4a43dac0-fee6-457a-8dc6-99a695cdd1dc,4844,5689,5089,6132
972,25ec30c5-9b1a-4620-ad88-c2cb04c8739e,4846,6697,5393,7150
975,d7c2e2d2-3634-45cc-a743-067e1b3fb0a0,4853,4317,5308,4854
980,ed7a7154-82a4-43a1-b126-49e124aa3f30,4895,2076,5226,2316
984,cc8795d4-e3b3-46fa-b89c-256d5d6c914e,4914,3329,5502,3684
985,d34786c4-22b1-48a2-b0e2-d6fd1ef85a84,4917,2248,5313,2638
990,08f3396a-276e-4bac-a621-f757b44c0b92,4937,1165,5202,1430
992,c56122ff-f943-4140-9eb7-5133056db408,4958,5011,5396,5479
1008,a7ff3f2b-69b7-4480-87a8-d486fa707d9f,5077,3578,5488,3889
1012,a5a01517-c1c1-49dd-8bf1-9eb93b554b31,5091,1754,5472,2064
1014,8ccfb430-fc10-4dad-8354-8707044aff67,5096,4048,5402,4317
1019,36a12592-6f83-4dda-b6a0-7d2f67ca615b,5145,1063,5603,1312
1022,f6b5f663-6171-4618-af71-a0937307b31e,5159,3831,5545,4129
1023,0912323d-1ade-4287-862e-92cce4358e32,5162,495,5522,977
1026,5ca1411a-5b19-408d-b4b2-e073f1435263,5166,6523,5446,6918
1032,96c1dc3b-8c75-4fca-9622-bed5ae2d8008,5191,7134,5450,7439
1034,bfd27a2f-0af4-4d4b-a02b-ad9ccdb599c5,5197,1636,5428,1867
1049,13219c8f-0b32-4cc2-b349-f91363a0c9bf,5246,4453,5659,4801
1050,f33262ec-651f-4af5-a7e4-cf9ed2e8ce7e,5255,888,5539,1133
1057,6d5b12c4-e06e-4b17-81db-0cf00022501e,5303,2342,5651,2675
1065,cd0c2b5e-7aea-436f-a2a8-dbd5cf49426c,5341,5403,6180,5848
1066,e6942fad-054e-4f70-8b26-b31900eead4b,5341,6488,5726,6926
1068,09070df7-df39-4183-83a0-fe8d8ff43186,5344,1981,5697,2242
1071,1b5076fa-1833-4c75-a52d-3fed20617627,5353,6860,5727,7226
1072,d2cf6ef0-1368-40d6-9fb1-019f6eae186d,5356,4777,5725,5173
1082,5d633f53-3253-4435-ac68-cfb4bd04b4b1,5405,4114,5759,4499
1085,b960e521-3cc4-4ae5-aa8d-4dc75f85ede0,5410,482,5877,863
1103,20735bcc-c30c-4660-8f73-d6e0c3671f07,5480,6184,6007,6516
1110,f330c70c-6a90-4bff-89b4-dce0c479d30e,5518,2761,5805,3095
1116,653ca29a-a48c-40ab-8668-e7d86613397d,5532,5812,6074,6265
1120,c0687019-c28e-4d8b-911a-115b48931dc8,5543,1405,6078,1980
1121,a84bfb07-6cf6-483a-add9-9f577c18f30a,5546,3812,5772,4118
1142,d1527926-c3aa-4e8c-93ac-583bcc47b8e8,5656,6632,6036,6952
1145,d48f9240-97b7-4145-b85a-9fcbdeaff048,5681,5085,6037,5468
1152,37bb81ae-e3eb-4649-9ef0-dc896a320045,5701,4702,5977,5091
1153,15f37894-cb06-44fe-940a-c57b067a0e13,5702,838,6009,1215
1173,44be0883-e3f3-488c-8872-e2cb07778913,5764,2523,6405,2902
1207,71e6a3fb-efa4-415d-bac1-8a1b52785730,5891,7193,6135,7491
1209,b1d325b9-eb56-4d19-8eb3-55a966ef0d8c,5906,2268,6280,2601
1211,bc51df54-7254-4f66-99fb-d0fab53d339a,5911,6616,6422,6871
1216,23817bc5-58b9-443b-8ae9-7b28f5d0597a,5925,6866,6282,7190
1246,96ac980b-042a-424c-9a7c-3090b33fb568,6005,5947,6246,6219
1247,1c1c4ecb-97f7-4df5-9c93-cbe91faa2597,6007,5026,6257,5385
1257,16d2e82a-dee7-41ab-b41e-435668232502,6038,5482,6413,5857
1269,72be3dd8-d3af-4cbf-8f72-dc9b7c236b41,6087,3607,6689,4132
1272,26305259-951b-4517-9754-82f385099b5b,6095,1918,6494,2355
1285,f79c4aa3-9bca-44c7-8dd0-bac3922c63ce,6144,7085,6459,7433
1286,233ffafb-05cc-42ad-b4bb-913a2f78fc35,6146,1217,6405,1621
1290,902ae704-a54a-4099-a007-692ca529ada3,6163,3314,6535,3713
1310,c0f42ecf-4bcc-46c2-a33e-2954b60c765f,6242,944,6975,1507
1313,515c9066-ad37-4409-8b15-88ecc1c5740c,6250,5776,6566,6133
1322,e3342297-85db-4bd7-b159-f9c741212c8b,6279,2242,6570,2557
1325,bd78d054-f940-42a2-b33e-eb4d7af22667,6281,6797,6653,7142
1326,aac8f9dd-0b9b-4e85-92e4-decdb650ba5e,6283,4037,6766,4353
1332,75cdb017-597d-420b-aa11-ede4b933a945,6306,450,6614,781
1335,68fc4654-c18b-412e-a33a-434b3fd7ce7b,6328,4776,6762,5388
1339,07f090d6-605c-4e29-aa81-86b9735e562e,6355,795,6681,1071
1346,7ecf99e6-56de-41ae-bf42-e78fd73959e9,6378,3151,6635,3438
1348,8eeb2cba-989b-47e8-afff-bd8e258a4d31,6384,7187,6775,7453
1349,69f2b00c-2ceb-49f5-8388-1a5e8ee69b88,6397,1456,6902,1795
1350,1670e68e-3645-4e2d-af61-3b3f25bd1de9,6423,5446,6781,5878
1365,83159c03-9213-435e-93b5-d625cd3b902a,6457,5927,6836,6215
1370,953212cc-1db3-4035-8e2d-459b2ecfd075,6485,4470,6741,4765
1374,d59ad1aa-9bf0-4ffd-8289-a0780ed4eff1,6501,6199,6749,6458
1376,37c109a0-2110-48be-8f2b-ee3a7e5f29c1,6509,2915,6816,3152
1381,d5207479-5789-4027-9317-269f070cbce1,6529,3413,6891,3881
1388,aead4c12-8314-4818-81e8-c45151e45cb0,6562,2235,6864,2593
1399,8a3fe024-1f73-481c-bf3c-8231cf96a65b,6612,4890,7037,5358
1425,20b6ac5b-611e-47f0-b443-f704be0f7157,6702,1653,7055,2103
1433,dd6f38a6-24d1-4296-b7b8-02b9c3971a23,6726,909,7078,1276
1438,66cca119-370e-40c0-b22f-a8c2f16027af,6753,6090,7077,6370
1440,acf09c00-97c0-4dfb-a6b4-59020fda1817,6761,4112,7039,4388
1445,025dc0cf-b4cc-426c-83b8-7205d8d58d69,6790,2201,7222,2635
1446,e889208c-15cf-4449-8f0a-5af317b348cf,6791,7398,7344,7673
1450,ab3f0bc3-6904-46c7-b6fe-29445439c4cc,6806,3008,7078,3241
1452,bc9ea0a7-bccc-46a8-b010-9db86f5806be,6809,5795,7049,6024
1455,c8aa8e30-f676-4e09-b1fa-da21842addd3,6815,2780,7099,3011
1458,5f3ed564-02e8-4d12-950d-37084c425b8b,6830,3434,7111,3786
1459,b0365c52-36fc-4fb9-84ef-ed11931964f7,6831,6481,7234,6996
1470,9bb88872-a82d-4880-a6b3-2a2ed9194dfb,6914,4403,7182,4762
1471,33f3d697-70fd-4e52-8a32-33398d339bdb,6915,2569,7209,2852
1472,aa7d86a1-3644-4459-9db9-39e8c18325ab,6915,5457,7325,6019
1481,a6cc7f0e-762b-41b9-9753-b6443e553295,6955,5996,7567,6600
1483,56f647f7-f584-4446-84fa-4f95404caa01,6959,3908,7427,4288
1484,9272ccb6-97d8-4433-857b-caf9c9512448,6963,4793,7348,5078
1488,ab10717d-110e-4646-9768-dc66b356c1ed,7006,7216,7282,7467
1490,aaf1891b-e0a8-4699-83d5-2dc98153a63b,7037,3349,7346,3862
1492,f543814f-172a-4a29-9cb7-b8bb9084151c,7055,4173,7530,4628
1502,e23c0113-0f12-4039-bb04-a113b265edd4,7095,2921,7341,3161
1504,7a7af2ef-7d26-478c-a228-098c13c4ce5f,7097,5088,7392,5342
1508,b261013d-8ea1-46d3-9a17-5482f222ade6,7114,5357,7437,5673
1511,486e46ac-d7b6-450d-b660-414983aa4f4b,7136,680,7417,973
1528,e01f9d96-4be5-4c18-9be2-130fe703253b,7221,6953,7633,7304
1531,0ffdf512-86f7-4a46-9be4-d8ac3fb82b42,7240,6598,7506,6938
1538,87cadddf-5409-4b33-9367-1ee53d8f7148,7261,5682,7591,6001
1558,1e110b1d-ca6c-4af5-b009-8d20feff646c,7336,7234,7747,7590
1562,a0145f13-c2bb-4728-9298-1df2e262b276,7345,5104,7717,5644
1576,5ccec6be-00bf-458b-b666-ab0b8afef224,7387,5642,7653,5890
1579,a9a46b90-5116-4c7e-960f-e4d7b83cce49,7404,6377,7681,6642
1584,c85a7c13-aaa5-45e6-acf7-f46e88a31baf,7464,4491,7768,4717
1594,a83379c2-b7d8-4161-a64d-44f334f1ebf2,7514,6567,7796,6848
1617,c9db5776-1aa1-4114-b4d8-354cdbe83b87,7625,7074,7887,7469
1632,ff0187c7-a6b2-42c3-b71f-3845424ebae7,7805,7107,8183,7722
